words,em,light,sound,properties
real,0.0,0.0,0.0,0.0
jar,0.0,0.0,1.0508926192379424,0.0
last,0.0,0.0,0.0,0.0
right,0.0,0.7401618755233044,0.0,0.0
edge,0.0,0.4967903991068936,0.0,0.0
another,0.0,0.0,0.0,0.0
halve,0.0,0.0,0.0,0.5236686390532544
audible,0.0,0.0,2.049560351718625,0.0
path,0.0,1.8956181970415855,0.0,0.0
monochromatic,0.0,3.5634942785375383,0.0,0.0
leave,0.0,0.040189785096288,0.0,0.0
healthy,0.0,0.0,1.0381028510524912,0.0
steady,0.0,0.0,0.9890754063415932,0.0
cupboard,0.0,0.0,0.0,2.2159763313609466
distance,0.0,0.0,0.3083186783906208,0.5746745562130178
away,0.0,0.0,0.12695029161855678,0.08678500986193294
wall,0.0,0.009472339921684,0.0,1.2331002331002336
parallel,0.0,1.4031870074292623,0.0,0.28895463510848124
continuous,0.0,0.0,1.8726352251532103,0.0
lot,0.0,0.0,0.0,0.0
opposite,0.0,0.6173597543957576,0.3421262989608312,0.0
three,0.0,0.0,0.0,0.0
equation,0.0,0.0,1.2907007727151611,0.0
fifth,0.0,0.0,0.8750333066879828,0.0
shape,0.0,0.0,0.8643751665334396,1.2687376725838266
forwards,0.0,2.298632430923807,0.0,0.0
clock,0.0,0.9746022885849848,0.0,0.0
principal,0.0,0.0859614847892824,0.0,0.0
shout,0.0,0.0,1.944044764188649,0.0
source,0.0,0.0,1.0871302957633888,0.0
four,0.0,0.0,0.0,0.0
front,0.0,0.0,0.0,0.0
critical,0.0,0.9578565447948644,0.0,0.0
medium,0.0,0.0,0.9869437783106844,0.0
air,0.0,0.0,0.4869470277436587,0.15105594842930672
near,0.0,0.0,0.1012523314681584,0.0
diminish,0.0,1.4479486463857103,0.0,0.0
heater,0.0,0.0,0.0,4.0
apart,0.0,0.0,0.0,0.6420118343195264
first,0.0,0.0,0.0,0.0
full,0.0,0.0,0.0,0.0
width,0.0,0.0,1.5145217159605648,0.0
absorb,0.0,0.6270350730300494,0.8530064837019272,0.0
