words,kinetic,processes,properties
pool,1.6793478260869565,0.0,0.0
collision,1.6701766304347827,0.0,0.0
attraction,1.6691576086956523,0.0,0.0
bulb,0.06534476902173915,0.030294530154277705,0.0
syringe,1.6508152173913047,0.0,0.0
lid,0.2059697690217392,0.5055399719495093,0.0
exert,1.6294157608695654,0.0,0.0
storage,0.36506453804347816,0.0,0.4246606334841627
depth,0.6820652173913045,0.0,0.1087481146304675
tank,0.3482506793478261,0.0,0.4518099547511311
reflect,1.5998641304347827,0.0,0.0
affect,0.9132982336956521,0.0,0.0
collide,0.7960597826086956,0.0,0.0
freezing,0.36124320652173914,0.0,0.3717194570135746
pressure,1.1099844149616371,0.0,0.0
effect,1.4898097826086958,0.0,0.0
measure,0.18007569875776397,0.0,0.5850032320620553
dense,0.0029615319293478,0.0,0.012047511312217162
input,1.4378396739130435,0.0,0.0
space,0.2995923913043479,0.1826086956521738,0.0
gradually,1.394021739130435,0.0,0.0
area,0.3584408967391305,0.26633941093969143,0.0
car,0.06994856366459622,0.0,0.0
current,0.7430366847826085,0.0,0.0417043740573152
sun,0.3070652173913044,0.11164095371669,0.0
piston,1.3624320652173916,0.0,0.0
increase,0.0,0.017138849929873766,0.00829131652661067
need,0.032420981121281466,0.0,0.6571564658251963
internal,0.09889605978260865,0.0,0.0244343891402712
student,0.0,0.0605890603085554,0.0576923076923076
unchanged,1.3023097826086956,0.0,0.0
constant,0.2801383399209487,0.0,0.23237350884409694
seal,1.2982336956521738,0.0,0.0
draw,0.1182065217391304,0.0399719495091163,0.0
scale,0.03164330663615561,0.0,0.61386044296261
use,0.0,0.02040673211781195,0.02493715434891893
label,0.0524796195652173,0.0,0.0814479638009049
swimming,1.267663043478261,0.0,0.0
tightly,1.2605298913043477,0.0,0.0
read,1.2595108695652175,0.0,0.0
vary,0.2690217391304348,0.0,0.1628959276018098
occupy,1.2167119565217392,0.0,0.0
sunny,1.2044836956521743,0.0,0.0
capacity,0.022394215838509302,0.0,0.7196724843783666
trap,0.6012228260869565,0.0244039270687236,0.0
random,1.0810894268774707,0.0,0.0
storm,1.188179347826087,0.0,0.0
pack,0.169836956521739,0.4201963534361852,0.0
allow,0.1628736413043478,0.023422159887798,0.0
bath,1.1627038043478262,0.0,0.0
metal,0.0,0.12269284712482446,0.0
hot,0.06085180953557311,0.07110799438990172,0.0
randomly,1.1290760869565217,0.0,0.0
fix,0.1633164305124223,0.0,0.0
relationship,1.1056385869565217,0.0,0.0
wrap,1.0913722826086956,0.0,0.0
repeat,1.0883152173913044,0.0,0.0
mass,0.25949088874680304,0.0,0.08871439978706405
open,1.0801630434782608,0.0,0.0
