words,0,1,2,3,4
symbol,0.12712223509138673,0.0,1.1195151272290123,0.0,0.0
difference,1.2428317184101245,0.0,0.0,0.0,0.0
property,0.3245501285347042,0.0,0.09284420289855061,0.0,0.2709761935567344
work,0.457904884318766,0.5901185015290518,0.0,0.0,0.0
break,1.199327664623294,0.0,0.0,0.0,0.0
galvanometer,1.1924065651572073,0.0,0.0,0.0,0.0
bright,0.28252916749060697,0.0,0.0,0.0,0.0
device,1.164722167292861,0.0,0.0,0.0,0.0
pole,1.1360490409333597,0.0,0.0,0.0,0.0
magnetic,1.134071583943049,0.0,0.0,0.0,0.0
include,0.5281458044954186,0.0,0.0,0.0,0.469551904084185
disconnect,1.129127941467273,0.0,0.0,0.0,0.0
cloth,1.126161755981807,0.0,0.0,0.0,0.0
direction,0.0,0.0865713257780176,0.0,0.07145230973745424,0.703804616684298
magnet,1.1202293850108755,0.0,0.0,0.0,0.0
decrease,0.0028602502895561785,0.06185986117178775,0.0,0.7588983050847455,0.0
attract,0.67114890251137,0.0,0.1735039738195418,0.0,0.0
dependent,1.086612616175598,0.0,0.0,0.0,0.0
make,0.0,0.3985888124362894,0.0,0.24835805084745752,0.0
charge,0.2961691265033165,0.0,0.5475955204216073,0.0,0.0
type,0.11386107465798981,0.0,0.0,0.0,1.0231536480080918
add,0.2852481708522838,0.458078491335372,0.0,0.0,0.0
metal,0.16993771010480524,0.5542813455657492,0.0,0.06232344632768363,0.0
use,0.005453953957146484,0.07679170365985988,0.0,0.05965008201202838,0.02965371307893603
suspend,0.1261123195570496,0.089322120285423,0.0,0.2266666666666666,0.0
reverse,1.018390350009887,0.0,0.0,0.0,0.0
lead,0.37015523037373926,0.0,0.49599696119682074,0.0,0.0
ampere,1.012457979038956,0.0,0.0,0.0,0.0
plastic,0.2957286929009292,0.0,0.0,0.4163276836158192,0.0
independently,1.0075143365631796,0.0,0.0,0.0,0.0
cable,1.0035594225825586,0.0,0.0,0.0,0.0
student,0.03144156614593635,0.4121432212028542,0.0,0.1002259887005649,0.0
paper,0.43429899149693474,0.0,0.1685951379149135,0.0,0.0
copper,0.4254357467725077,0.0,0.0,0.3809927360774818,0.0
case,0.997627051611627,0.0,0.0,0.0,0.0
permanent,0.9946608661261614,0.0,0.0,0.0,0.0
aluminium,0.2547953332015028,0.0,0.8199509116409536,0.0,0.0
sheet,0.172121152198273,0.0,0.016947171575502504,0.32758945386064037,0.0
output,0.9649990112715046,0.0,0.0,0.0,0.0
alternate,0.9640102827763496,0.0,0.0,0.0,0.0
reading,0.2693904869107558,0.1842213596800752,0.0,0.0,0.0
effect,0.10175664095972564,0.0,0.0,0.34839924670433126,0.16424433231264635
connect,0.9551117263199526,0.0,0.0,0.0,0.0
potential,0.4445323314217912,0.3464576962283384,0.0,0.0,0.0
allow,0.9432469843780895,0.0,0.0,0.0,0.0
measure,0.0,1.599388379204893,0.0,0.03254237288135593,0.0
different,0.09633511304462458,0.0,0.0,0.0,0.014792771811791065
separately,0.854261419814119,0.0,0.0,0.0,0.0
induce,0.838441763891635,0.0,0.0,0.0,0.0
travel,0.020493645172308363,0.07393313872671668,0.0,0.03320493066255777,0.17784259988943638
flexible,0.8325093929207035,0.0,0.0,0.0,0.0
nucleus,0.0,0.0,4.349131628420518,0.0,0.0
moving,0.2569458176784655,0.6656154434250762,0.0,0.0,0.0
polythene,0.8196559224836859,0.0,0.0,0.0,0.0
dark,0.8107573660272884,0.0,0.0,0.0,0.0
shock,0.8107573660272884,0.0,0.0,0.0,0.0
helium,0.11362138290158849,0.0,1.30980208820321,0.0,0.0
length,0.017161501737337072,0.6958551769331583,0.0,0.0,0.10429181376263794
flow,0.756377298793751,0.0,0.0,0.0,0.0
