words,density,energy,forces,mass and weight,moments,momentum,motion
level,0.0705309658603534,0.3738551207327226,0.0,0.07413991927734,0.0,0.0,0.2829723060049353
reading,0.324774594460647,0.0,0.0,0.8577530057445488,0.0,0.0,0.31492144735906713
face,1.6644364384971686,0.0,0.0,0.0,0.0,0.0,0.0
copper,1.6428203808543491,0.0,0.0,0.0,0.0,0.0,0.0
add,0.3055519814719507,0.0,0.5304772333242082,0.0,0.1302824782881188,0.0,0.0
masse,0.29028564076170854,0.0,0.3255680262797699,0.21643763213530648,0.005358581788879899,0.0,0.0
steel,0.6901376737004632,0.0,0.47307007938680523,0.0,0.0,0.0,0.015235124760076725
rise,0.36176874249442426,1.9363493385142005,0.0,0.0,0.0,0.0,0.0
piece,0.9507062389203407,0.0,0.0,0.0,0.35018802041364483,0.0,0.0
cover,1.475295934122491,0.0,0.0,0.0,0.0,0.0,0.0
large,0.1734913793103448,0.0,0.0,0.0,0.0,0.0,0.10836532309660882
read,1.34740092640247,0.0,0.0,0.0,0.0,0.0,0.0
tell,0.3985960999599702,0.0,0.0,0.0,0.24275524517265049,0.0,0.0
identical,0.0476067936181162,0.0767878619668794,0.5266903914590746,0.0,0.3011907959530844,0.0,0.0
impossible,0.334148224395265,0.0,0.0,0.0,0.7502014504431906,0.0,0.0
rule,0.41325699090753104,0.0,0.0,0.0,0.8064508908586266,0.0,0.0
expression,0.1964959684336936,1.0216833194560087,0.0,0.0,0.0,0.0,0.0
place,0.041070509521358704,0.0,0.0,0.0,0.06737398155609269,0.0,0.09622520793346127
olive,0.9727225939269166,0.0,0.0,0.0,0.0,0.0,0.0
shaded,0.9222851260936691,0.0,0.0,0.0,0.0,0.0,0.0
spanner,0.7907874420998454,0.0,0.0,0.0,0.0,0.0,0.0
sufficient,0.7655687081832216,0.0,0.0,0.0,0.0,0.0,0.0
wish,0.5872362326299532,0.0,0.0,0.0,0.0,0.0,0.0
regular,0.5800308800823467,0.0,0.0,0.0,0.0,0.0,0.0
pan,0.006928223603468031,0.0,0.0,0.3650371826904597,0.5981218620219423,0.0,0.0
say,0.5674215131240348,0.0,0.0,0.0,0.0,0.0,0.0
know,0.19010121804769256,0.03827366083819026,0.0,0.0,0.0,0.0,0.0
great,0.07745753988677291,0.0,0.0,0.0,0.05226967499328498,0.0,0.0
person,0.024438154057299637,0.3551484873716346,0.0,0.0,0.0,0.0,0.23653230966090852
long,0.033624978555498224,0.0,0.0,0.0,0.0,0.0,0.9976007677543184
leave,0.05494081317550175,0.0,0.0,0.0,0.0,0.0,0.7683941138835569
different,0.0,0.08892162514144192,0.0,0.1947692899067106,0.0,0.0,0.013066587922633969
lower,0.1693257848687594,0.0,0.0,0.0,0.029143164114960932,0.0,0.0
able,0.2161605764282034,0.0,0.0,0.0,0.0,0.0,0.0
overnight,0.11708697889860999,0.0,0.0,0.0,0.0,0.0,0.0
spring,0.0,0.29668563234341755,0.7680901542111506,0.0001401435069511372,0.0,0.0,0.0
cross,0.0,0.0,0.0,0.0,0.0,0.0,0.0
happen,0.0,0.0,0.0,0.0,0.0,0.5007654698997482,0.0
low,0.0,0.0,0.0,0.0,0.0,0.0,0.0
high,0.0,0.4616153205661947,0.0,0.0,0.0,0.0,0.0
solar,0.0,4.85706355814599,0.0,0.0,0.0,0.0,0.0
motor,0.0,5.989730779905633,0.0,0.0,0.0,0.0,0.0
correct,0.0,0.0984364881117586,0.0,0.0,0.09213000268600591,0.0,0.17514395393474075
bicycle,0.0,3.992506244796003,0.0,0.0,0.0,0.0,0.0
child,0.0,0.28737626052363757,0.0,0.07124895893394838,0.0,0.0,0.184047771379825
swimmer,0.0,1.9855675825700798,0.0,0.0,0.0,0.0,0.0
due,0.0,0.0,0.0,0.0,0.0,0.0,0.0
constant,0.0,0.04401887316125448,0.0,0.0,0.0,0.0,1.6486427200438714
support,0.0,0.0,0.0,0.0,2.0362610797743756,0.0,0.0
sound,0.0,0.46541462361612235,0.0,0.0,0.0,0.0,1.3943271486457667
market,0.0,0.0,0.0,1.5054776090716893,0.0,0.0,0.0
lake,0.0,1.6242020538440185,0.0,0.0,0.0,0.0,0.0
pressure,0.0,0.0,0.0,2.417643667115126,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,2.8485092667203866,0.0,0.0
kilogram,0.0,0.0,0.0,4.062367864693446,0.0,0.0,0.0
could,0.0,0.0,0.0,0.0,0.0,0.0,0.0
measured,0.0,0.0,4.825075280591295,0.0,0.0,0.0,0.0
pull,0.0,2.24007771301693,0.0,0.0,0.0,0.0,0.0
fire,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hot,0.0,0.11192833132883079,0.0,0.5747004933051443,0.0,0.0,0.0
board,0.0,3.363030807660283,0.0,0.0,0.0,0.0,0.0
plane,0.0,0.0,0.0,0.0,4.017996239591726,0.0,0.0
short,0.0,0.0,0.0,0.0,0.0,0.0,1.8119001919385793
powerful,0.0,3.4018873161254506,0.0,0.0,0.0,0.0,0.0
lever,0.0,0.0,0.0,0.0,4.890410958904109,0.0,0.0
geothermal,0.0,4.948376353039133,0.0,0.0,0.0,0.0,0.0
swinge,0.0,2.063280599500416,0.0,0.0,0.0,0.0,0.0
quickly,0.0,1.326949764085484,0.0,0.0,0.0,0.0,0.0
incomplete,0.0,2.422703302803219,0.0,0.0,0.0,0.0,0.0
various,0.0,0.0,0.0,0.0,0.2688691915122211,0.0,0.5425463851567496
fly,0.0,0.0,0.0,0.0,0.0,0.0,2.4952015355086363
drive,0.0,3.186233694143769,0.0,0.0,0.0,0.0,0.0
suitcase,0.0,1.9020260893699694,0.0,0.0,0.0,0.0,0.0
runner,0.0,0.0,0.0,0.0,0.0,0.0,3.857965451055662
burn,0.0,1.8534554537885093,0.0,0.0,0.0,0.0,0.0
tube,0.0,1.2764363030807655,0.0,0.0,0.0,0.0,0.0
shelf,0.0,2.2828198723286146,0.0,0.0,0.0,0.0,0.0
find,0.0,0.0,0.0,0.0,0.0,0.0,0.0
