words,atom,radioactivity
row,0.0,0.2556319658525018
window,0.0,0.0858430163623428
uncharged,0.0,0.1422812425895186
screen,0.0,0.1090822859852976
flour,0.0,0.0583353094617026
incomplete,0.0,0.3134930045055726
life,0.0,0.0
people,0.0,0.0
occur,0.0,0.7208916291202276
result,0.0,0.3855821674175954
handle,0.0,0.0
tungsten,0.0,0.7327483993360208
move,0.0,0.0
follow,0.0,0.2285985297604932
least,0.0,0.0
range,0.0,0.3462176903011618
due,0.0,0.0
ability,0.0,0.0
absorb,0.0,0.4918188285511026
continue,0.0,0.0806260374673938
never,0.0,0.0
thick,0.0,0.0
set,0.0,0.4334835190894
must,0.0,0.0
near,0.0,0.0
level,0.0,0.377519563670856
ray,0.0,0.3291439411904196
teacher,0.0,0.1460754090585724
investigation,0.0,0.5288119516243776
escape,0.0,0.0
suitable,0.0,0.267488736068295
carefully,0.0,0.1498695755276262
cathode,0.0,1.0301161963481147
powder,0.0,0.5060469528100544
early,0.0,0.0
several,0.0,0.0
fire,0.0,0.0
student,0.0,0.160777804126156
process,0.0,0.788238083945933
week,0.0,0.2494664453402892
risk,0.0,0.4268437277685558
hot,0.0,0.0
read,0.0,0.5634337206544936
detect,0.0,0.7526677732985534
tong,0.0,0.092482807683187
second,0.0,0.015650936684847
screening,0.0,0.188759781835428
box,0.0,0.3979132084420204
electromagnetic,0.0,0.8683898506046952
paper,0.0,0.7004979843490632
store,0.0,0.2617974863647142
fission,0.0,1.6865069954944274
beginning,0.0,0.0967512449608726
laboratory,0.0,1.1505809817405739
many,0.0,0.0
plate,0.0,0.048849893289068
show,0.0,0.0
negative,0.0,0.0
per,0.0,0.0
reduce,0.0,0.5933127815982926
repeat,0.0,0.3310410244249466
highly,0.0,0.0
investigate,0.0,0.5577424709509128
distance,0.0,0.248043632914394
two,0.0,0.0
table,0.0,0.7792269385819302
stream,0.0,0.1218875978183542
thin,0.0,0.0
measured,0.0,0.6317287170974626
round,0.0,0.2423523832108132
exactly,0.0,0.0
perpendicular,0.0,0.242826654019445
every,0.0,0.0
measure,0.0,0.6952810054541142
fall,0.0,0.1769030116196348
nature,0.0,0.6758359023002132
safely,0.0,0.4292150818117144
property,0.0,0.3642399810291676
beam,0.0,0.7569362105762388
page,0.0,0.5482570547782784
background,0.0,0.283139672753142
obtain,0.0,0.6895897557505334
amount,0.0,0.0
correctly,0.0,0.3353094617026322
name,0.0,0.0
effect,0.0,0.1218875978183542
sealed,0.0,0.0289305193265354
produce,0.0,0.5411429926488024
Po,0.0,0.0
deflect,0.0,0.0
record,0.0,0.2546834242352382
need,0.0,0.3362580033198956
air,0.0,0.3737253972018022
keep,0.0,0.0
great,0.0,0.0
also,0.0,0.0
previous,0.0,0.5264405975812187
whether,0.0,0.0
leave,0.0,0.0962769741522408
four,0.0,0.0
give,0.0,0.0
half,0.0,0.0
sample,0.0,0.561062366611335
steel,0.0,0.3168129001659948
less,0.0,0.0
edge,0.0,0.0
account,0.0,0.0
possible,0.0,0.0
reach,0.0,0.0
accord,0.0,0.2086791557979606
copper,0.0,0.6592364239981028
nuclei,0.0,2.0
find,0.0,0.0
hand,0.0,0.0901114536400284
tube,0.0,0.1579321792743656
enough,0.0,0.0
reading,0.0,0.489447474507944
warm,0.0,0.0232392696229546
take,0.0,0.0
thickness,0.0,0.1199905145838272
cardboard,0.0,0.380839459331278
short,0.0,0.0
period,0.0,0.3557031064737964
three,0.0,0.0
rock,0.0,0.311121650462414
red,0.0,0.4590941427555132
towards,0.0,0.0
bring,0.0,0.3096988380365188
action,0.0,0.1171448897320368
product,0.0,0.25515769504387
prevent,0.0,0.0393644771164334
plastic,0.0,0.2736542565805074
inside,0.0,0.3078017548019918
em,0.0,0.0
line,0.0,0.082048849893289
identify,0.0,0.2717571733459804
stop,0.0,0.0
hen,0.0,0.0
study,0.0,0.3756224804363292
day,0.0,0.1930282191131134
five,0.0,0.0
direction,0.0,0.7346454825705478
rather,0.0,0.0
good,0.0,0.0
go,0.0,0.0
arrangement,0.0,0.909177140147024
eventually,0.0,0.0
